"X_5_digit_ntd_id","Agency","City","State","UPT","MILES","NTD ID","Mode","Agency Name","Bio-Diesel","Bunker Fuel","C Natural Gas","Diesel Fuel","Electric Battery","Electric Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified Nat Gas","Liquified Petroleum Gas","CO2_MWh","primary_source","electricity_price_MWh","generation_MWh","abbreviation","Diesel_Emissions","Gasoline_Emissions","CNG_Emissions","LPG_Emissions","Bunker_Emissions","Ethanol_Emissions","Electric_Emissions","Total_Emissions","Emissions_per_UPT","Emissions_per_Mile","Agency_Size","Car_Emissions","Emissions_Avoided"
20175,"Private Transportation Corporation","Brooklyn","NY",237882,1244928,20175,"Motor Bus","Private Transportation Corporation",0,0,0,46016,0,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",1030758.4,0,0,0,0,0,0,1030758.4,4.33306597388621,0.827966275961341,"Small",976023.552,-54734.8479999998
20177,"Adirondack Transit Lines, Inc., dba: Adirondack Trailways","Hurley","NY",362745,31065245,20177,"Cable Car","Adirondack Transit Lines, Inc.",0,0,0,237870,0,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",5328288,0,0,0,0,0,0,5328288,14.6887979158913,0.171519265339771,"Small",24355152.08,19026864.08
20178,"Ulster County , dba: Ulster County Area Transit","Kingston","NY",430747,3954087,20178,"Demand Response","Ulster County",0,0,0,0,44,0,0,0,14007,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,274537.2,0,0,0,0,0,274537.2,0.637351391884331,0.0694312492365494,"Small",3100004.208,2825467.008
20178,"Ulster County , dba: Ulster County Area Transit","Kingston","NY",430747,3954087,20178,"Motor Bus","Ulster County",64458,0,0,42972,95545,0,0,0,49837,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",962572.8,976805.2,0,0,0,0,0,1939378,4.50235985392818,0.490474286478775,"Small",3100004.208,1160626.208
20188,"MTA Bus Company","New York","NY",119571794,347970662,20188,"Motor Bus","MTA Bus Company",0,0,2038747,9224121,0,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",206620310.4,0,23853339.9,0,0,0,0,230473650.3,1.9274917820502,0.662336442317657,"Large",272808999.008,42335348.708
20190,"Port Imperial Ferry Corporation, dba: NY Waterway","Weehawken","NJ",5689838,12587409,20190,"Unknown","Port Imperial Ferry Corporation",0,0,0,1627711,0,0,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",36460726.4,0,0,0,0,0,0,36460726.4,6.40804297064345,2.89660297842074,"Medium",9868528.656,-26592197.744
20190,"Port Imperial Ferry Corporation, dba: NY Waterway","Weehawken","NJ",5689838,12587409,20190,"Motor Bus","Port Imperial Ferry Corporation",0,0,0,112500,0,0,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",2520000,0,0,0,0,0,0,2520000,0.442894859220948,0.200200057057016,"Medium",9868528.656,7348528.656
20192,"Bergen County, dba: Bergen County Community Transportation","Hackensack","NJ",139952,1223026,20192,"Demand Response","Bergen County",0,0,0,0,0,0,0,0,93018,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",0,1823152.8,0,0,0,0,0,1823152.8,13.0269863953355,1.49069014068384,"Small",958852.384,-864300.416
20192,"Bergen County, dba: Bergen County Community Transportation","Hackensack","NJ",139952,1223026,20192,"Motor Bus","Bergen County",0,0,0,0,0,0,0,0,9437,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",0,184965.2,0,0,0,0,0,184965.2,1.32163313135932,0.151235705536922,"Small",958852.384,773887.184
20199,"County of Atlantic","Atlantic City","NJ",86347,658856,20199,"Demand Response","County of Atlantic",0,0,0,4318,0,0,0,0,83191,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",96723.2,1630543.6,0,0,0,0,0,1727266.8,20.0037847290583,2.62161504183008,"Small",516543.104,-1210723.696
20199,"County of Atlantic","Atlantic City","NJ",86347,658856,20199,"Motor Bus","County of Atlantic",0,0,0,13007,0,0,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",291356.8,0,0,0,0,0,0,291356.8,3.37425504070784,0.442216205058465,"Small",516543.104,225186.304
20204,"Senior Citizens United Community Services of Camden County, Inc.","Audubon","NJ",108834,961907,20204,"Demand Response","Senior Citizens United Community Services of Camden County, Inc.",0,0,0,0,0,0,0,0,115863,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",0,2270914.8,0,0,0,0,0,2270914.8,20.8658580958156,2.36084652674323,"Small",754135.088,-1516779.712
20206,"County of Nassau, dba: Nassau Inter County Express","Mineola","NY",20293586,112757303,20206,"Demand Response","County of Nassau",0,0,0,16595,0,0,0,0,247853,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",371728,4857918.8,0,0,0,0,0,5229646.8,0.257699491849297,0.0463796726319359,"Medium",88401725.552,83172078.752
